MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
21.5,3.3,6,0.549,3.3,6,0.549,0,0,0,2.8,4.2,0.669,1.842602041,4.091326531,6.6,0.5,0.8,1.7,1.5,2.6,9.4,8.45,0.588,0.55,0.001,0.691,11.93196481,15.44281525,2.760703812,15.8,24.32961877,3.7,8,11.7,0.17
27,5.1,8.8,0.578,5.1,8.8,0.578,0,0,0,2.3,3.6,0.636,2.8,5.1,7.9,0.8,0.5,1.4,2,2.7,12.5,9.93,0.593,0.578,0,0.405,18,7,4,15.7,24.4,7.1,5,12.1,0.185
24.5,3.8,7,0.538,3.7,6.8,0.548,0,0.2,0,2.2,3.3,0.663,2.4,4.5,7,0.8,0.2,2.1,1.6,2.6,9.7,5.32,0.569,0.539,0.022,0.476,16.5,7.2,8.6,15.4,20.7,3.5,2.6,6.1,0.165
27.4,6.2,9.5,0.646,6.2,9.5,0.646,0,0,0,2.4,4.2,0.567,2.1,4.1,6.2,1,1,1.8,1.6,1.5,14.7,9.3,0.637,0.646,0,0.445,11.93196481,15.44281525,2.760703812,12.1,24.32961877,3.7,4,7.6,0.301
34,6.4,10.9,0.585,6.1,10.1,0.604,0.2,0.8,0.329,3.2,4.3,0.734,2.9,5.3,8.2,1.5,0.7,1.6,1.6,2.1,16.1,6.24,0.625,0.597,0.069,0.396,13.8,10,3.9,11.3,21.3,12,5.7,17.7,0.215
26,4.1,6.8,0.6,4.1,6.8,0.6,0,0,0,2.9,4.8,0.598,1.842602041,4.091326531,6.9,0.4,0.7,3.5,1.7,2,11,7.2,0.608,0.6,0,0.709,11.93196481,15.44281525,2.760703812,15.9,24.32961877,9.3,14.2,23.5,0.301
30.8,5.5,9.3,0.595,5.5,9.3,0.595,0,0,0,5,7.7,0.655,1.842602041,4.091326531,8.9,1.8,0.8,1.2,2.8,3.3,16.1,7.16,0.622,0.595,0,0.823,11.93196481,15.44281525,2.760703812,17.5,24.32961877,15.2,4.5,19.6,0.228
27.4,4.4,6.5,0.677,4.3,6.2,0.695,0.1,0.3,0,1.9,3.6,0.541,3.5,6.3,5.4,1.3,0.6,1,2.2,1.6,10.9,8.74,0.662,0.687,0.052,0.548,11.93196481,15.44281525,2.760703812,16.7,24.32961877,8.8,4,12.8,0.248
26.2,3.9,8,0.493,3.9,7.9,0.496,0,0.1,0,3.2,4.3,0.745,1.6,4.9,6.5,1.3,0.5,2.6,1.9,1.5,11.1,10.79,0.553,0.494,0.011,0.541,11.93196481,15.44281525,2.760703812,15.4,24.32961877,5.6,10.7,16.2,0.261
27.7,5.3,9.5,0.562,5.3,9.3,0.568,0,0.2,0,2.8,3.7,0.759,2.8,4.6,7.3,1.3,0.6,1.9,1.4,2.8,13.5,9.02,0.601,0.565,0.018,0.387,14.4,9.7,4.7,11.4,21.9,10.3,10.9,21.2,0.23
25,4.4,8.8,0.503,3.2,5.6,0.564,1.3,3.2,0.395,1.9,2.5,0.74,2.3,4.7,5.9,1.2,0.7,0.5,1.6,1.5,12,8.03,0.599,0.574,0.362,0.287,11.4,9.7,1.4,11.8,22.9,9.6,7.2,16.9,0.206
29.7,4,7.5,0.54,3.9,7,0.559,0.1,0.5,0.278,2.5,3.8,0.664,1.9,4.6,6.5,2.4,1.2,1.9,1.9,2.8,10.8,9.63,0.578,0.549,0.07,0.507,13.1,16.5,4.4,17,19.1,4,6.2,10.3,0.201
21,3.5,6.1,0.574,3.5,6.1,0.574,0,0,0,2.3,3.2,0.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,8.12,0.612,0.574,0,0.515,20.5,6.5,9.9,13.6,21,7.4,9,16.5,0.282
25.8,6.3,12.8,0.495,6.3,12.8,0.496,0,0,0,3.3,6.2,0.527,1.842602041,4.091326531,9.2,0.7,0.5,4.5,3.3,2.6,16,-10.49,0.506,0.495,0.002,0.483,11.93196481,15.44281525,2.760703812,19,24.32961877,3.1,6.3,9.4,0.143
36.5,8.2,15,0.547,8.2,14.8,0.551,0,0.1,0,4,8.2,0.491,1.842602041,4.091326531,12.7,1.5,0.7,5.7,3.8,2.4,20.4,-5.01,0.541,0.548,0.008,0.55,11.93196481,15.44281525,2.760703812,16.7,24.32961877,5,5,9.9,0.125
28.1,4.9,8.6,0.572,4.9,8.6,0.574,0,0.1,0,4,5.7,0.694,3.2,5.9,9.1,0.9,1.2,3,2.3,3.1,13.9,9.51,0.611,0.573,0.01,0.659,18.3,6.3,7.3,16.9,24,12.4,16.8,29.2,0.299
23.7,4.4,7.5,0.586,4.4,7.5,0.59,0,0.1,0,2.2,3.7,0.581,1.842602041,4.091326531,7.5,1.2,1.1,2.5,1.6,2,11,6.65,0.592,0.587,0.01,0.494,11.93196481,15.44281525,2.760703812,14.3,24.32961877,8.2,16.4,24.7,0.346
20.4,2.7,5.2,0.517,2.7,5.2,0.519,0,0,0,1,1.6,0.61,1.842602041,4.091326531,5,0.5,0.4,2.6,1.2,2,6.4,6.65,0.533,0.517,0.004,0.307,11.93196481,15.44281525,2.760703812,17,24.32961877,1.7,3.4,5.1,0.099
21.1,3.8,6.2,0.616,3.8,6.2,0.617,0,0,0,2.9,4.2,0.684,2,4.4,6.4,1.7,0.9,1.7,1.8,2,10.5,6.65,0.642,0.617,0.003,0.679,16.5,16,6.4,18,24.2,8.7,9,17.7,0.31
24.4,3.4,7.9,0.434,3.4,7.9,0.435,0,0,0,2.2,3.8,0.584,1.842602041,4.091326531,7.4,0.6,0.8,3.5,1.6,2.9,9.1,4.07,0.468,0.434,0.002,0.486,11.93196481,15.44281525,2.760703812,14.3,24.32961877,0.5,8.3,8.7,0.181
