Player,Draft_Yr,College,Career_PER
Scot Pollard,1997,University of Kansas,13.8
D.J. Augustin,2008,University of Texas at Austin,14.2
Jordan Hill,2009,University of Arizona,16.3
T.J. Ford,2003,University of Texas at Austin,15.1
Alex Len,2013,University of Maryland,14.7
James Johnson,2009,Wake Forest University,14.6
Brandan Wright,2007,University of North Carolina,20.3
Jumaine Jones,1999,University of Georgia,12.5
Patrick Patterson,2010,University of Kentucky,12.6
Etan Thomas,2000,Syracuse University,14.5
MarShon Brooks,2011,Providence College,13.9
DerMarr Johnson,2000,University of Cincinnati,11
Evan Eschmeyer,1999,Northwestern University,10.6
Isaiah Canaan,2013,Murray State University,10.7
Marcus Thornton,2009,Louisiana State University,15.5
Drew Gooden,2002,University of Kansas,16.3
Michael Bradley,2001,Villanova University,11.3
Arron Afflalo,2007,"University of California, Los Angeles",11.9
Loren Woods,2001,University of Arizona,11.2
Quincy Acy,2012,Baylor University,11.2
Daniel Ewing,2005,Duke University,8.3
Channing Frye,2005,University of Arizona,13.3
Tobias Harris,2011,University of Tennessee,16.8
Matt Bonner,2003,University of Florida,13.6
Derek Anderson,1997,University of Kentucky,15.3
Josh McRoberts,2007,Duke University,13.2
Tayshaun Prince,2002,University of Kentucky,13.7
Glenn Robinson III,2014,University of Michigan,10.5
Kevin Durant,2007,University of Texas at Austin,25.2
Luke Babbitt,2010,"University of Nevada, Reno",10.1
Ray Allen,1996,University of Connecticut,18.6
Darren Collison,2009,"University of California, Los Angeles",16.2
Cole Aldrich,2010,University of Kansas,16.6
Eric Bledsoe,2010,University of Kentucky,18
Mike Conley,2007,Ohio State University,17.6
Rasual Butler,2002,La Salle University,10.6
Terrence Williams,2009,University of Louisville,11.5
Marcus Williams,2006,University of Connecticut,11
Jerome James,1998,Florida Agricultural and Mechanical University,10.6
Mario Chalmers,2008,University of Kansas,12.7
Desmond Mason,2000,Oklahoma State University,12.7
Richard Hamilton,1999,University of Connecticut,16.5
Fred Jones,2002,University of Oregon,11.3
Michael Redd,2000,Ohio State University,19.5
Anthony Parker,1997,Bradley University,12.2
Jrue Holiday,2009,"University of California, Los Angeles",16.9
Chris Paul,2005,Wake Forest University,25.3
