,Player,Draft_Yr,College,Career_PER,Position
0,Scot Pollard,1997,University of Kansas,13.8,Interior
1,D.J. Augustin,2008,University of Texas at Austin,14.2,Perimeter
2,Jordan Hill,2009,University of Arizona,16.3,Interior
3,T.J. Ford,2003,University of Texas at Austin,15.1,Perimeter
4,Alex Len,2013,University of Maryland,14.7,Interior
5,James Johnson,2009,Wake Forest University,14.6,Perimeter
6,Brandan Wright,2007,University of North Carolina,20.3,Interior
7,Jumaine Jones,1999,University of Georgia,12.5,Perimeter
8,Patrick Patterson,2010,University of Kentucky,12.6,Interior
9,Etan Thomas,2000,Syracuse University,14.5,Interior
10,MarShon Brooks,2011,Providence College,13.9,Perimeter
11,DerMarr Johnson,2000,University of Cincinnati,11,Perimeter
12,Evan Eschmeyer,1999,Northwestern University,10.6,Interior
13,Isaiah Canaan,2013,Murray State University,10.7,Perimeter
14,Marcus Thornton,2009,Louisiana State University,15.5,Perimeter
15,Drew Gooden,2002,University of Kansas,16.3,Perimeter
16,Michael Bradley,2001,Villanova University,11.3,Interior
17,Arron Afflalo,2007,"University of California, Los Angeles",11.9,Perimeter
18,Loren Woods,2001,University of Arizona,11.2,Interior
19,Quincy Acy,2012,Baylor University,11.2,Perimeter
20,Daniel Ewing,2005,Duke University,8.3,Perimeter
21,Channing Frye,2005,University of Arizona,13.3,Interior
22,Tobias Harris,2011,University of Tennessee,16.8,Perimeter
23,Matt Bonner,2003,University of Florida,13.6,Interior
24,Derek Anderson,1997,University of Kentucky,15.3,Perimeter
25,Josh McRoberts,2007,Duke University,13.2,Interior
26,Tayshaun Prince,2002,University of Kentucky,13.7,Perimeter
27,Glenn Robinson III,2014,University of Michigan,10.5,Perimeter
28,Kevin Durant,2007,University of Texas at Austin,25.2,Perimeter
29,Luke Babbitt,2010,"University of Nevada, Reno",10.1,Perimeter
30,Ray Allen,1996,University of Connecticut,18.6,Perimeter
31,Darren Collison,2009,"University of California, Los Angeles",16.2,Perimeter
32,Cole Aldrich,2010,University of Kansas,16.6,Interior
33,Eric Bledsoe,2010,University of Kentucky,18,Perimeter
34,Mike Conley,2007,Ohio State University,17.6,Perimeter
35,Rasual Butler,2002,La Salle University,10.6,Perimeter
36,Terrence Williams,2009,University of Louisville,11.5,Perimeter
37,Marcus Williams,2006,University of Connecticut,11,Perimeter
38,Jerome James,1998,Florida Agricultural and Mechanical University,10.6,Interior
39,Mario Chalmers,2008,University of Kansas,12.7,Perimeter
40,Desmond Mason,2000,Oklahoma State University,12.7,Perimeter
41,Richard Hamilton,1999,University of Connecticut,16.5,Perimeter
42,Fred Jones,2002,University of Oregon,11.3,Perimeter
43,Michael Redd,2000,Ohio State University,19.5,Perimeter
44,Anthony Parker,1997,Bradley University,12.2,Perimeter
45,Jrue Holiday,2009,"University of California, Los Angeles",16.9,Perimeter
46,Chris Paul,2005,Wake Forest University,25.3,Perimeter
47,Aaron Gordon,2014,University of Arizona,15.2,Perimeter
48,Salim Stoudamire,2005,University of Arizona,11.8,Perimeter
49,Adam Morrison,2006,Gonzaga University,7.4,Perimeter
50,Maurice Harkless,2012,St. John's University,12.4,Perimeter
51,Adonal Foyle,1997,Colgate University,12.3,Interior
52,Chase Budinger,2009,University of Arizona,13,Perimeter
53,Shelden Williams,2006,Duke University,12.5,Interior
54,Kenyon Martin,2000,University of Cincinnati,15,Interior
55,Kareem Rush,2002,University of Missouri,9.2,Perimeter
56,Roy Rogers,1996,University of Alabama,12.1,Interior
57,Bradley Beal,2012,University of Florida,17,Perimeter
58,Bobby Jackson,1997,University of Minnesota,15.2,Perimeter
59,Joakim Noah,2007,University of Florida,17.6,Interior
60,Pat Garrity,1998,University of Notre Dame,10.7,Perimeter
61,Chris Duhon,2004,Duke University,10.8,Perimeter
62,Bernard Robinson,2004,University of Michigan,11,Perimeter
63,Kelvin Cato,1997,Iowa State University,14.4,Interior
64,DeJuan Blair,2009,University of Pittsburgh,16.5,Interior
65,Brevin Knight,1997,Stanford University,14.9,Perimeter
66,J.J. Redick,2006,Duke University,14.9,Perimeter
67,Jeff Foster,1999,Texas State University,14.2,Interior
68,Kyle O'Quinn,2012,Norfolk State University,17.8,Interior
69,Glen Davis,2007,Louisiana State University,12.4,Interior
70,Jarvis Hayes,2003,University of Georgia,10.8,Perimeter
71,Ryan Gomes,2005,Providence College,12.5,Perimeter
72,Shannon Brown,2006,Michigan State University,12.4,Perimeter
73,Danny Green,2009,University of North Carolina,13,Perimeter
74,Anthony Johnson,1997,College of Charleston,11.2,Perimeter
75,Zach Randolph,2001,Michigan State University,19.3,Interior
76,Gerald Wallace,2001,University of Alabama,16.3,Perimeter
77,DeMarcus Cousins,2010,University of Kentucky,22.4,Interior
78,Andrew Nicholson,2012,St. Bonaventure University,12.2,Interior
79,Kyle Singler,2011,Duke University,9.5,Perimeter
80,Jason Thompson,2008,Rider University,13.5,Interior
81,Hakim Warrick,2005,Syracuse University,15.5,Interior
82,Derrick Rose,2008,University of Memphis,18.1,Perimeter
83,John Salmons,2002,University of Miami,12.1,Perimeter
84,Jay Williams,2002,Duke University,12.2,Perimeter
85,Meyers Leonard,2012,University of Illinois at Urbana-Champaign,12.2,Interior
86,Dan Gadzuric,2002,"University of California, Los Angeles",14.4,Interior
87,Kenneth Faried,2011,Morehead State University,19.8,Interior
88,Jerome Williams,1996,Georgetown University,15.9,Perimeter
89,Chandler Parsons,2011,University of Florida,14.7,Perimeter
90,Tristan Thompson,2011,University of Texas at Austin,15.4,Interior
91,Will Barton,2012,University of Memphis,14.7,Perimeter
92,Francisco Garcia,2005,University of Louisville,12.3,Perimeter
93,Shelvin Mack,2011,Butler University,12.4,Perimeter
94,Carmelo Anthony,2003,Syracuse University,20.3,Perimeter
95,Marcus Camby,1996,University of Massachusetts Amherst,17.8,Interior
96,Andre Miller,1999,University of Utah,17.4,Perimeter
97,James Harden,2009,Arizona State University,24.3,Perimeter
98,Rudy Gay,2006,University of Connecticut,16.8,Perimeter
99,Laron Profit,1999,University of Maryland,10.6,Perimeter
100,Trey Burke,2013,University of Michigan,13.8,Perimeter
101,Andrew Bogut,2005,University of Utah,16.4,Interior
102,Miles Plumlee,2012,Duke University,13.7,Interior
103,Morris Peterson,2000,Michigan State University,13.3,Perimeter
104,Shabazz Muhammad,2013,"University of California, Los Angeles",15.9,Perimeter
105,Harrison Barnes,2012,University of North Carolina,13.3,Perimeter
106,Otto Porter,2013,Georgetown University,15.6,Perimeter
107,Jason Smith,2007,Colorado State University,12.9,Interior
108,Roger Mason,2002,University of Virginia,10.9,Perimeter
109,Sean Marks,1998,University of California,9.1,Interior
110,Ronnie Brewer,2006,University of Arkansas,14.4,Perimeter
111,Casey Jacobsen,2002,Stanford University,9.2,Perimeter
112,Chris Crawford,1997,Marquette University,12.9,Interior
113,Rodney Hood,2014,Duke University,13.3,Perimeter
114,Carl Landry,2007,Purdue University,17.5,Interior
115,James Anderson,2010,Oklahoma State University,9.9,Perimeter
116,Derek Fisher,1996,University of Arkansas at Little Rock,11.7,Perimeter
117,Jordan Hamilton,2011,University of Texas at Austin,13.4,Perimeter
118,Dominic McGuire,2007,"California State University, Fresno",9.8,Perimeter
119,Tyreke Evans,2009,University of Memphis,17.2,Perimeter
120,Anthony Davis,2012,University of Kentucky,27.4,Interior
121,Spencer Hawes,2007,University of Washington,14,Interior
122,Brendan Haywood,2001,University of North Carolina,14.6,Interior
123,Al Horford,2007,University of Florida,18.9,Interior
124,James Posey,1999,Xavier University,12.4,Perimeter
125,Melvin Ely,2002,"California State University, Fresno",10.6,Interior
126,Lamar Odom,1999,University of Rhode Island,16.5,Perimeter
127,Randy Foye,2006,Villanova University,12,Perimeter
128,Austin Croshere,1997,Providence College,14.3,Interior
129,Jordan Crawford,2010,Xavier University,14.1,Perimeter
130,Mark Hendrickson,1996,Washington State University,10.6,Interior
131,Tony Delk,1996,University of Kentucky,13.7,Perimeter
132,Terrence Jones,2012,University of Kentucky,17.1,Interior
133,Dajuan Wagner,2002,University of Memphis,9.9,Perimeter
134,Eddie House,2000,Arizona State University,13.2,Perimeter
135,Jeremy Lamb,2012,University of Connecticut,15.8,Perimeter
136,Lance Stephenson,2010,University of Cincinnati,12.1,Perimeter
137,Earl Clark,2009,University of Louisville,10.2,Perimeter
138,Michael Ruffin,1999,University of Tulsa,8.5,Interior
139,Earl Watson,2001,"University of California, Los Angeles",12.1,Perimeter
140,Jared Sullinger,2012,Ohio State University,16.2,Interior
141,Ryan Anderson,2008,University of California,16.5,Interior
142,Jarrett Jack,2005,Georgia Institute of Technology,14.1,Perimeter
143,Bobby Simmons,2001,DePaul University,12.9,Perimeter
144,Darrell Arthur,2008,University of Kansas,12.2,Perimeter
145,Kenny Thomas,1999,University of New Mexico,13.9,Interior
146,P.J. Tucker,2006,University of Texas at Austin,11,Perimeter
147,Darius Songaila,2002,Wake Forest University,13.3,Interior
148,Josh Howard,2003,Wake Forest University,16.7,Perimeter
149,Mardy Collins,2006,Temple University,7.9,Perimeter
150,Vonteego Cummings,1999,University of Pittsburgh,11.8,Perimeter
151,Elfrid Payton,2014,University of Louisiana at Lafayette,15.2,Perimeter
152,Allen Iverson,1996,Georgetown University,20.9,Perimeter
153,Josh Boone,2006,University of Connecticut,14.2,Interior
154,Lavoy Allen,2011,Temple University,12.5,Interior
155,Jason Williams,1998,University of Florida,14.2,Perimeter
156,Rodney Buford,1999,Creighton University,10,Perimeter
157,Shawne Williams,2006,University of Memphis,12.5,Interior
158,Eric Maynor,2009,Virginia Commonwealth University,10.6,Perimeter
159,Stephon Marbury,1996,Georgia Institute of Technology,18.7,Perimeter
160,DeAndre Jordan,2008,Texas A&M University,18.5,Interior
161,Jonny Flynn,2009,Syracuse University,11.3,Perimeter
162,Joe Johnson,2001,University of Arkansas,15.4,Perimeter
163,Antoine Wright,2005,Texas A&M University,7.9,Perimeter
164,Steven Hunter,2001,DePaul University,13,Interior
165,Michael Doleac,1998,University of Utah,10.8,Interior
166,Greg Monroe,2010,Georgetown University,20,Interior
167,Michael Beasley,2008,Kansas State University,15.7,Perimeter
168,Kirk Snyder,2004,"University of Nevada, Reno",12.4,Perimeter
169,Vince Carter,1998,University of North Carolina,18.9,Perimeter
170,Ekpe Udoh,2010,Baylor University,11.7,Interior
171,Courtney Lee,2008,Western Kentucky University,12.2,Perimeter
172,Linas Kleiza,2005,University of Missouri,12.4,Perimeter
173,Stromile Swift,2000,Louisiana State University,16.1,Interior
174,Spencer Dinwiddie,2014,University of Colorado,15,Perimeter
175,Chris Mihm,2000,University of Texas at Austin,13.4,Interior
176,Rodney Stuckey,2007,Eastern Washington University,14.9,Perimeter
177,Gilbert Arenas,2001,University of Arizona,19.6,Perimeter
178,Josh Childress,2004,Stanford University,15.6,Perimeter
179,Mike Miller,2000,University of Florida,14.3,Perimeter
180,Deron Williams,2005,University of Illinois at Urbana-Champaign,18.2,Perimeter
181,Johnny O'Bryant III,2014,Louisiana State University,8,Interior
182,Joey Graham,2005,Oklahoma State University,11,Perimeter
183,Sean May,2005,University of North Carolina,14.9,Interior
184,Kirk Hinrich,2003,University of Kansas,12.8,Perimeter
185,Rafael Araujo,2004,Brigham Young University,6.3,Interior
186,Emeka Okafor,2004,University of Connecticut,17,Interior
187,Jae Crowder,2012,Marquette University,13,Perimeter
188,Ryan Kelly,2013,Duke University,10.5,Interior
189,Luther Head,2005,University of Illinois at Urbana-Champaign,12.3,Perimeter
190,Jeff Pendergraph,2009,Arizona State University,12.4,Interior
191,Kemba Walker,2011,University of Connecticut,19.2,Perimeter
192,Terrence Ross,2012,University of Washington,12.4,Perimeter
193,Austin Rivers,2012,Duke University,10.2,Perimeter
194,Markel Brown,2014,Oklahoma State University,10.1,Perimeter
195,Jodie Meeks,2009,University of Kentucky,12.8,Perimeter
196,Bryce Drew,1998,Valparaiso University,9.6,Perimeter
197,Kyle Lowry,2006,Villanova University,18.5,Perimeter
198,Tyronn Lue,1998,University of Nebraska,13.2,Perimeter
199,Jamie Feick,1996,Michigan State University,12.4,Interior
200,Marcus Banks,2003,"University of Nevada, Las Vegas",12.2,Perimeter
201,Steven Adams,2013,University of Pittsburgh,16.7,Interior
202,Norris Cole,2011,Cleveland State University,9.2,Perimeter
203,Gordon Hayward,2010,Butler University,17.5,Perimeter
204,Chris Wilcox,2002,University of Maryland,15.5,Interior
205,Steve Nash,1996,Santa Clara University,20,Perimeter
206,Jason Maxiell,2005,University of Cincinnati,13,Interior
207,Jason Richardson,2001,Michigan State University,16.3,Perimeter
208,Daequan Cook,2007,Ohio State University,9.1,Perimeter
209,Terence Morris,2001,University of Maryland,9.9,Perimeter
210,Mike Dunleavy,2002,Duke University,13.9,Perimeter
211,Jeff McInnis,1996,University of North Carolina,12.6,Perimeter
212,Dante Cunningham,2009,Villanova University,11.1,Perimeter
213,P.J. Hairston,2014,University of North Carolina,7.6,Perimeter
214,Jon Brockman,2009,University of Washington,10.3,Interior
215,Luol Deng,2004,Duke University,15.4,Perimeter
216,Reggie Bullock,2013,University of North Carolina,11.2,Perimeter
217,Reggie Jackson,2011,Boston College,16.1,Perimeter
218,Robert Sacre,2012,Gonzaga University,10.8,Interior
219,Mike Bibby,1998,University of Arizona,16.1,Perimeter
