MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
21.5,3.3,6,0.549,3.3,6,0.549,0,0,0,2.8,4.2,0.669,1.842602041,4.091326531,6.6,0.5,0.8,1.7,1.5,2.6,9.4,8.45,0.588,0.55,0.001,0.691,11.93196481,15.44281525,2.760703812,15.8,24.32961877,3.7,8,11.7,0.17
36.5,5.4,12.2,0.443,3.8,8.2,0.463,1.6,4.1,0.402,4.4,5.5,0.808,0.6,2.3,2.9,6.2,1.4,0,3,1.9,16.9,7.35,0.569,0.51,0.331,0.447,4.2,34.3,0.2,16.9,20.9,6.2,4.5,10.7,0.161
27,5.1,8.8,0.578,5.1,8.8,0.578,0,0,0,2.3,3.6,0.636,2.8,5.1,7.9,0.8,0.5,1.4,2,2.7,12.5,9.93,0.593,0.578,0,0.405,18,7,4,15.7,24.4,7.1,5,12.1,0.185
33,4.3,10.5,0.406,3.9,9,0.436,0.3,1.5,0.228,4,5,0.801,0.7,3.2,3.8,8,2.1,0.1,3.6,2.6,12.9,9.63,0.5,0.422,0.145,0.478,6.4,44.6,0.3,21.8,21.7,2,5.3,7.4,0.135
24.5,3.8,7,0.538,3.7,6.8,0.548,0,0.2,0,2.2,3.3,0.663,2.4,4.5,7,0.8,0.2,2.1,1.6,2.6,9.7,5.32,0.569,0.539,0.022,0.476,16.5,7.2,8.6,15.4,20.7,3.5,2.6,6.1,0.165
29.9,5.8,11.2,0.515,4.9,8.4,0.587,0.8,2.8,0.296,2.5,3.6,0.693,2.8,5.5,8.3,1.6,1.4,1.4,2.5,3,14.8,8.09,0.575,0.551,0.248,0.32,15.2,9.2,3.3,16.2,25.7,4.6,5.4,10,0.219
27.4,6.2,9.5,0.646,6.2,9.5,0.646,0,0,0,2.4,4.2,0.567,2.1,4.1,6.2,1,1,1.8,1.6,1.5,14.7,9.3,0.637,0.646,0,0.445,11.93196481,15.44281525,2.760703812,12.1,24.32961877,3.7,4,7.6,0.301
34.4,5.9,13.2,0.449,4.5,9.2,0.492,1.4,4,0.351,3.3,4.4,0.751,1.842602041,4.091326531,9,1,1,0.6,2.5,1.1,16.6,8.11,0.542,0.502,0.305,0.337,11.93196481,15.44281525,2.760703812,12.7,24.32961877,4.5,4,8.4,0.154
34,6.4,10.9,0.585,6.1,10.1,0.604,0.2,0.8,0.329,3.2,4.3,0.734,2.9,5.3,8.2,1.5,0.7,1.6,1.6,2.1,16.1,6.24,0.625,0.597,0.069,0.396,13.8,10,3.9,11.3,21.3,12,5.7,17.7,0.215
26,4.1,6.8,0.6,4.1,6.8,0.6,0,0,0,2.9,4.8,0.598,1.842602041,4.091326531,6.9,0.4,0.7,3.5,1.7,2,11,7.2,0.608,0.6,0,0.709,11.93196481,15.44281525,2.760703812,15.9,24.32961877,9.3,14.2,23.5,0.301
25.3,5.2,11.2,0.464,3.8,7,0.543,1.4,4.2,0.333,2.6,3.6,0.739,1.6,2.7,4.3,1.5,1.1,0.7,1.8,2,14.4,7.44,0.559,0.526,0.375,0.318,9.3,13.5,2.5,12.4,27.9,8.4,2.6,11,0.154
27.5,4.4,9.2,0.478,2.8,4.8,0.575,1.6,4.4,0.371,2.2,3,0.737,1.842602041,4.091326531,3.8,1.4,1,0.9,1.4,2,12.6,8.5,0.594,0.567,0.478,0.324,11.93196481,15.44281525,2.760703812,12,24.32961877,2.6,2.2,4.8,0.218
30.8,5.5,9.3,0.595,5.5,9.3,0.595,0,0,0,5,7.7,0.655,1.842602041,4.091326531,8.9,1.8,0.8,1.2,2.8,3.3,16.1,7.16,0.622,0.595,0,0.823,11.93196481,15.44281525,2.760703812,17.5,24.32961877,15.2,4.5,19.6,0.228
29.4,4.8,10.7,0.45,2.5,5.2,0.483,2.3,5.5,0.419,3.6,4.5,0.803,0.6,2.2,2.8,2.9,1.2,0.1,2.4,1.8,15.5,-3.56,0.606,0.558,0.514,0.42,5.9,22.2,0.3,15.5,26.7,14.3,6.1,20.4,0.21
32.7,7.1,15.6,0.455,4.5,8.9,0.51,2.5,6.7,0.382,3.7,4.8,0.771,2,3.5,5.5,1.8,1.5,0.3,2,2,20.4,4.46,0.572,0.537,0.428,0.306,9.3,12.7,0.8,10.1,30.1,7.1,3.8,10.9,0.201
26.2,6.1,12.3,0.493,5.9,11.7,0.503,0.2,0.6,0.306,3.3,4.7,0.698,3,7.1,9.2,1.6,1.1,1.1,2.6,2.5,15.6,9.39,0.537,0.501,0.051,0.379,18.1,9.4,3.5,15,27.1,5.2,7.9,13.1,0.204
27.4,4.4,6.5,0.677,4.3,6.2,0.695,0.1,0.3,0,1.9,3.6,0.541,3.5,6.3,5.4,1.3,0.6,1,2.2,1.6,10.9,8.74,0.662,0.687,0.052,0.548,11.93196481,15.44281525,2.760703812,16.7,24.32961877,8.8,4,12.8,0.248
32.7,5,10.9,0.457,3,5.5,0.539,2,5.4,0.373,2.8,3.6,0.781,0.6,2.8,3.5,1.9,0.6,0.2,2,2.1,14.8,8.4,0.586,0.549,0.493,0.33,7.3,12.5,0.4,13.5,22,9.7,4.1,13.8,0.163
26.2,3.9,8,0.493,3.9,7.9,0.496,0,0.1,0,3.2,4.3,0.745,1.6,4.9,6.5,1.3,0.5,2.6,1.9,1.5,11.1,10.79,0.553,0.494,0.011,0.541,11.93196481,15.44281525,2.760703812,15.4,24.32961877,5.6,10.7,16.2,0.261
25.1,3.6,6,0.602,3.6,6,0.604,0,0.1,0,2.5,3.6,0.708,2.2,3.8,6,0.6,0.7,1.3,1.5,2.6,9.8,7.2,0.635,0.604,0.008,0.594,14.4,5.3,5.3,16.7,19.1,9.9,6.4,16.3,0.187
27.7,3.9,9,0.432,2.3,5,0.464,1.6,4,0.392,2.2,2.9,0.746,0.8,1.9,2.8,2.1,1.4,0.2,1.9,2.6,11.6,9.61,0.554,0.519,0.445,0.325,5.5,10.2,0.3,15.2,20.8,7.1,6.4,13.5,0.141
27.7,5.3,9.5,0.562,5.3,9.3,0.568,0,0.2,0,2.8,3.7,0.759,2.8,4.6,7.3,1.3,0.6,1.9,1.4,2.8,13.5,9.02,0.601,0.565,0.018,0.387,14.4,9.7,4.7,11.4,21.9,10.3,10.9,21.2,0.23
29.2,5.4,11.8,0.46,4.8,9.6,0.497,0.7,2.2,0.303,3.8,5,0.753,2,5.3,7.3,1.3,0.7,0.9,1.8,2.1,15.3,8.73,0.54,0.489,0.189,0.423,14,10.4,3.4,11.4,27.2,2.9,1.5,4.4,0.177
25,4.4,8.8,0.503,3.2,5.6,0.564,1.3,3.2,0.395,1.9,2.5,0.74,2.3,4.7,5.9,1.2,0.7,0.5,1.6,1.5,12,8.03,0.599,0.574,0.362,0.287,11.4,9.7,1.4,11.8,22.9,9.6,7.2,16.9,0.206
24.9,4.1,8.5,0.482,3.2,6,0.532,0.9,2.5,0.364,3.2,4,0.805,1.842602041,4.091326531,3.8,3.2,1.9,0.2,2,2.5,12.4,10.44,0.593,0.536,0.296,0.472,11.93196481,15.44281525,2.760703812,16,24.32961877,4.5,3.5,7.9,0.129
29.7,4,7.5,0.54,3.9,7,0.559,0.1,0.5,0.278,2.5,3.8,0.664,1.9,4.6,6.5,2.4,1.2,1.9,1.9,2.8,10.8,9.63,0.578,0.549,0.07,0.507,13.1,16.5,4.4,17,19.1,4,6.2,10.3,0.201
29.8,4.8,10.5,0.457,3.3,5.9,0.556,1.5,4.6,0.329,2,2.7,0.743,1.9,4.5,5.6,1.9,0.8,1.1,1.7,1.4,13.1,11.42,0.557,0.529,0.438,0.261,11.93196481,15.44281525,2.760703812,12.3,24.32961877,8.4,9.8,18.2,0.181
33,4.6,8.8,0.525,3.9,6.4,0.603,0.7,2.4,0.313,2.1,2.9,0.718,1.8,3.1,4.9,1.1,1,0.3,1,1.3,12,9.85,0.593,0.567,0.269,0.331,9.5,6.7,0.9,9.2,18.6,7,3,10,0.159
35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.404,6,7.3,0.816,3,8.1,11.1,1.3,1.9,1.9,2.8,2,25.8,6.12,0.587,0.536,0.314,0.396,16.5,8.6,3.5,11.4,33.2,4.7,4.1,8.8,0.28
34.9,6.5,13.6,0.48,5.4,11,0.494,1.1,2.6,0.421,5.2,5.8,0.893,2,6.2,8.1,1.8,0.9,0.8,2.1,2.2,19.4,1.98,0.591,0.52,0.192,0.424,13.4,11,1.9,11.6,26.8,8.4,3.6,12,0.202
28.6,7,14.3,0.487,4.7,9.2,0.508,2.3,5.1,0.448,2.8,3.5,0.779,1.842602041,4.091326531,6,2.4,1.6,0.4,1.9,1.4,19,7.3,0.594,0.567,0.359,0.247,11.93196481,15.44281525,2.760703812,10.7,24.32961877,5,3.3,8.3,0.115
29.2,4,8.3,0.475,2.8,5.7,0.494,1.2,2.7,0.435,2.5,2.9,0.851,0.4,1.8,2.3,4.1,1.6,0.1,2.4,1.4,11.5,8.25,0.594,0.544,0.318,0.346,5.1,24.4,0.3,19.8,21.8,11,8.2,19.2,0.185
21,3.5,6.1,0.574,3.5,6.1,0.574,0,0,0,2.3,3.2,0.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,8.12,0.612,0.574,0,0.515,20.5,6.5,9.9,13.6,21,7.4,9,16.5,0.282
30.3,3.9,8.4,0.462,2.6,5,0.516,1.3,3.5,0.383,2.2,3.3,0.667,0.5,2.6,3.1,2.9,1.4,0.3,3,2.2,11.3,6.82,0.566,0.54,0.41,0.394,5.5,16.8,1.1,23.2,20.4,1.5,2.1,3.5,0.126
