MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
24.5,3.8,7,0.538,3.7,6.8,0.548,0,0.2,0,2.2,3.3,0.663,2.4,4.5,7,0.8,0.2,2.1,1.6,2.6,9.7,5.32,0.569,0.539,0.022,0.476,16.5,7.2,8.6,15.4,20.7,3.5,2.6,6.1,0.165
29.4,4.8,10.7,0.45,2.5,5.2,0.483,2.3,5.5,0.419,3.6,4.5,0.803,0.6,2.2,2.8,2.9,1.2,0.1,2.4,1.8,15.5,-3.56,0.606,0.558,0.514,0.42,5.9,22.2,0.3,15.5,26.7,14.3,6.1,20.4,0.21
32.7,7.1,15.6,0.455,4.5,8.9,0.51,2.5,6.7,0.382,3.7,4.8,0.771,2,3.5,5.5,1.8,1.5,0.3,2,2,20.4,4.46,0.572,0.537,0.428,0.306,9.3,12.7,0.8,10.1,30.1,7.1,3.8,10.9,0.201
34.9,6.5,13.6,0.48,5.4,11,0.494,1.1,2.6,0.421,5.2,5.8,0.893,2,6.2,8.1,1.8,0.9,0.8,2.1,2.2,19.4,1.98,0.591,0.52,0.192,0.424,13.4,11,1.9,11.6,26.8,8.4,3.6,12,0.202
38.3,6.8,16.7,0.409,4.3,9.6,0.447,2.6,7.1,0.359,3.1,3.7,0.829,2.1,4.8,5.9,1.6,1,1.1,2.7,1.8,19.3,3.11,0.523,0.486,0.427,0.223,11.93196481,15.44281525,2.760703812,12.6,24.32961877,7.1,6.1,13.3,0.126
25.8,6.3,12.8,0.495,6.3,12.8,0.496,0,0,0,3.3,6.2,0.527,1.842602041,4.091326531,9.2,0.7,0.5,4.5,3.3,2.6,16,-10.49,0.506,0.495,0.002,0.483,11.93196481,15.44281525,2.760703812,19,24.32961877,3.1,6.3,9.4,0.143
30,4.8,9.8,0.486,3.8,7.1,0.529,1,2.7,0.372,2.6,3.6,0.731,1.842602041,4.091326531,6.2,1.1,1.2,0.7,1.7,2.1,13.2,5.94,0.572,0.537,0.275,0.367,11.93196481,15.44281525,2.760703812,13,24.32961877,9.4,9.8,19.2,0.198
32.2,4.7,10.5,0.447,2.9,5.9,0.5,1.7,4.6,0.379,3.9,5.2,0.75,1.842602041,4.091326531,5.7,3.2,1.4,0.7,2.5,2,15,2.23,0.58,0.53,0.439,0.5,11.93196481,15.44281525,2.760703812,16,24.32961877,6,4.3,10.2,0.113
30.6,7,14,0.503,5.7,10.3,0.551,1.3,3.7,0.368,4.2,5.5,0.761,1.3,3.8,5.1,2,0.7,0.4,1.7,1.7,19.7,4.24,0.591,0.552,0.262,0.397,9.4,17.4,0.9,9.4,26.7,10.5,3.6,14.1,0.193
36.5,8.2,15,0.547,8.2,14.8,0.551,0,0.1,0,4,8.2,0.491,1.842602041,4.091326531,12.7,1.5,0.7,5.7,3.8,2.4,20.4,-5.01,0.541,0.548,0.008,0.55,11.93196481,15.44281525,2.760703812,16.7,24.32961877,5,5,9.9,0.125
24.4,3.4,7.9,0.434,3.4,7.9,0.435,0,0,0,2.2,3.8,0.584,1.842602041,4.091326531,7.4,0.6,0.8,3.5,1.6,2.9,9.1,4.07,0.468,0.434,0.002,0.486,11.93196481,15.44281525,2.760703812,14.3,24.32961877,0.5,8.3,8.7,0.181
21.3,3.6,7.1,0.508,3.6,7.1,0.505,0,0,0,2.5,3.9,0.639,1.842602041,4.091326531,8.4,1.2,0.9,1,1.6,1.7,9.8,-7.6,0.544,0.51,0.005,0.556,11.93196481,15.44281525,2.760703812,16.7,24.32961877,4.9,9.2,14.1,0.235
