,Player,School,MP,FGA,FG%,2P,3P,3PA,FT,FTA,ORB,STL,BLK,TOV,PTS,eFG%,TRB%,AST%,OWS,DWS,WS/40,,Career_PER,,,,,,,,,
0,Scot Pollard,Kansas,21.5,6,0.549,3.3,0,0,2.8,4.2,1.842602041,0.8,1.7,1.5,9.4,0.55,11.93196481,15.44281525,3.7,8,0.17,,13.8,,,,,,,,,
1,D.J. Augustin,Texas,36.5,12.2,0.443,3.8,1.6,4.1,4.4,5.5,0.6,1.4,0,3,16.9,0.51,4.2,34.3,6.2,4.5,0.161,,14.2,,,,,,,,,
2,Jordan Hill,Arizona,27,8.8,0.578,5.1,0,0,2.3,3.6,2.8,0.5,1.4,2,12.5,0.578,18,7,7.1,5,0.185,,16.3,,,,,,,,,
3,T.J. Ford,Texas,33,10.5,0.406,3.9,0.3,1.5,4,5,0.7,2.1,0.1,3.6,12.9,0.422,6.4,44.6,2,5.3,0.135,,15.1,,,,,,,,,
4,Alex Len,Maryland,24.5,7,0.538,3.7,0,0.2,2.2,3.3,2.4,0.2,2.1,1.6,9.7,0.539,16.5,7.2,3.5,2.6,0.165,,14.7,,,,,,,,,
5,James Johnson,Wake Forest,29.9,11.2,0.515,4.9,0.8,2.8,2.5,3.6,2.8,1.4,1.4,2.5,14.8,0.551,15.2,9.2,4.6,5.4,0.219,,14.6,,,,,,,,,
6,Brandan Wright,UNC,27.4,9.5,0.646,6.2,0,0,2.4,4.2,2.1,1,1.8,1.6,14.7,0.646,11.93196481,15.44281525,3.7,4,0.301,,20.3,,,,,,,,,
7,Jumaine Jones,Georgia,34.4,13.2,0.449,4.5,1.4,4,3.3,4.4,1.842602041,1,0.6,2.5,16.6,0.502,11.93196481,15.44281525,4.5,4,0.154,,12.5,,,,,,,,,
8,Patrick Patterson,Kentucky,34,10.9,0.585,6.1,0.2,0.8,3.2,4.3,2.9,0.7,1.6,1.6,16.1,0.597,13.8,10,12,5.7,0.215,,12.6,,,,,,,,,
9,Etan Thomas,Syracuse,26,6.8,0.6,4.1,0,0,2.9,4.8,1.842602041,0.7,3.5,1.7,11,0.6,11.93196481,15.44281525,9.3,14.2,0.301,,14.5,,,,,,,,,
10,MarShon Brooks,Providence,25.3,11.2,0.464,3.8,1.4,4.2,2.6,3.6,1.6,1.1,0.7,1.8,14.4,0.526,9.3,13.5,8.4,2.6,0.154,,13.9,,,,,,,,,
11,DerMarr Johnson,Cincinnati,27.5,9.2,0.478,2.8,1.6,4.4,2.2,3,1.842602041,1,0.9,1.4,12.6,0.567,11.93196481,15.44281525,2.6,2.2,0.218,,11,,,,,,,,,
12,Evan Eschmeyer,Northwestern,30.8,9.3,0.595,5.5,0,0,5,7.7,1.842602041,0.8,1.2,2.8,16.1,0.595,11.93196481,15.44281525,15.2,4.5,0.228,,10.6,,,,,,,,,
13,Isaiah Canaan,Murray State,29.4,10.7,0.45,2.5,2.3,5.5,3.6,4.5,0.6,1.2,0.1,2.4,15.5,0.558,5.9,22.2,14.3,6.1,0.21,,10.7,,,,,,,,,
14,Marcus Thornton,LSU,32.7,15.6,0.455,4.5,2.5,6.7,3.7,4.8,2,1.5,0.3,2,20.4,0.537,9.3,12.7,7.1,3.8,0.201,,15.5,,,,,,,,,
15,Drew Gooden,Kansas,26.2,12.3,0.493,5.9,0.2,0.6,3.3,4.7,3,1.1,1.1,2.6,15.6,0.501,18.1,9.4,5.2,7.9,0.204,,16.3,,,,,,,,,
16,Michael Bradley,Overall,27.4,6.5,0.677,4.3,0.1,0.3,1.9,3.6,3.5,0.6,1,2.2,10.9,0.687,11.93196481,15.44281525,8.8,4,0.248,,11.3,,,,,,,,,
17,Arron Afflalo,UCLA,32.7,10.9,0.457,3,2,5.4,2.8,3.6,0.6,0.6,0.2,2,14.8,0.549,7.3,12.5,9.7,4.1,0.163,,11.9,,,,,,,,,
18,Loren Woods,Overall,26.2,8,0.493,3.9,0,0.1,3.2,4.3,1.6,0.5,2.6,1.9,11.1,0.494,11.93196481,15.44281525,5.6,10.7,0.261,,11.2,,,,,,,,,
19,Quincy Acy,Baylor,25.1,6,0.602,3.6,0,0.1,2.5,3.6,2.2,0.7,1.3,1.5,9.8,0.604,14.4,5.3,9.9,6.4,0.187,,11.2,,,,,,,,,
20,Daniel Ewing,Duke,27.7,9,0.432,2.3,1.6,4,2.2,2.9,0.8,1.4,0.2,1.9,11.6,0.519,5.5,10.2,7.1,6.4,0.141,,8.3,,,,,,,,,
21,Channing Frye,Arizona,27.7,9.5,0.562,5.3,0,0.2,2.8,3.7,2.8,0.6,1.9,1.4,13.5,0.565,14.4,9.7,10.3,10.9,0.23,,13.3,,,,,,,,,
22,Tobias Harris,Tennessee,29.2,11.8,0.46,4.8,0.7,2.2,3.8,5,2,0.7,0.9,1.8,15.3,0.489,14,10.4,2.9,1.5,0.177,,16.8,,,,,,,,,
23,Matt Bonner,Florida,25,8.8,0.503,3.2,1.3,3.2,1.9,2.5,2.3,0.7,0.5,1.6,12,0.574,11.4,9.7,9.6,7.2,0.206,,13.6,,,,,,,,,
24,Derek Anderson,Overall,24.9,8.5,0.482,3.2,0.9,2.5,3.2,4,1.842602041,1.9,0.2,2,12.4,0.536,11.93196481,15.44281525,4.5,3.5,0.129,,15.3,,,,,,,,,
25,Josh McRoberts,Duke,29.7,7.5,0.54,3.9,0.1,0.5,2.5,3.8,1.9,1.2,1.9,1.9,10.8,0.549,13.1,16.5,4,6.2,0.201,,13.2,,,,,,,,,
26,Tayshaun Prince,Kentucky,29.8,10.5,0.457,3.3,1.5,4.6,2,2.7,1.9,0.8,1.1,1.7,13.1,0.529,11.93196481,15.44281525,8.4,9.8,0.181,,13.7,,,,,,,,,
27,Glenn Robinson III,Michigan,33,8.8,0.525,3.9,0.7,2.4,2.1,2.9,1.8,1,0.3,1,12,0.567,9.5,6.7,7,3,0.159,,10.5,,,,,,,,,
28,Kevin Durant,Texas,35.9,18.5,0.473,6.4,2.3,5.8,6,7.3,3,1.9,1.9,2.8,25.8,0.536,16.5,8.6,4.7,4.1,0.28,,25.2,,,,,,,,,
30,Luke Babbitt,Nevada,34.9,13.6,0.48,5.4,1.1,2.6,5.2,5.8,2,0.9,0.8,2.1,19.4,0.52,13.4,11,8.4,3.6,0.202,,10.1,,,,,,,,,
31,Ray Allen,UConn,28.6,14.3,0.487,4.7,2.3,5.1,2.8,3.5,1.842602041,1.6,0.4,1.9,19,0.567,11.93196481,15.44281525,5,3.3,0.115,,18.6,,,,,,,,,
32,Darren Collison,UCLA,29.2,8.3,0.475,2.8,1.2,2.7,2.5,2.9,0.4,1.6,0.1,2.4,11.5,0.544,5.1,24.4,11,8.2,0.185,,16.2,,,,,,,,,
