FG,FG%,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,BLK,PTS,PER,TS%,eFG%,FTr,TRB%,BLK%,USG%,WS/40
5.2,0.462,3.9,8.2,0.477,4.8,5.9,0.5,2.5,3,0.6,16.4,22.9,0.586,0.518,0.529,5,1.2,24.3,0.193
6.6,0.603,6.4,10.4,0.616,3.2,4.7,3.5,7.6,11.1,1.6,16.6,22.9,0.629,0.612,0.429,24.2,4.2,29.7,0.307
5.5,0.522,5.3,9.8,0.539,2.6,3.8,2.7,4.7,7.4,0.7,13.7,20.5,0.558,0.531,0.363,14.2,2.6,22.4,0.162
3.4,0.503,3.2,6,0.545,1.7,2.5,2.6,4.7,7.2,0.6,8.7,22.9,0.544,0.516,0.363,15.5,1.3,17.7,0.186
3.1,0.388,1.3,2.9,0.458,2,2.5,1.3,1.9,3.2,0.3,10,22.2,0.544,0.5,0.309,9.7,1.5,25.8,0.195
5.5,0.562,5.5,9.8,0.563,3.5,5.1,2.4,5.1,7.6,2,14.6,22.9,0.595,0.563,0.52,15.3,4.7,24.2,0.244
3.2,0.45,2.4,4.6,0.528,1.3,1.8,1.3,2.5,3.8,0.5,8.5,22.9,0.532,0.504,0.249,8.9,1.7,19.3,0.138
4.8,0.503,4.4,8.3,0.528,3.1,4.1,2.4,3.2,5.6,0.3,13.1,22.9,0.572,0.524,0.429,11.6,1.3,24.4,0.176
3.5,0.405,1.7,3.8,0.457,1.3,1.9,0.4,1.8,2.2,0.2,10.1,22.9,0.526,0.508,0.223,5.7,0.8,24.4,0.101
4.6,0.498,3.7,6.8,0.55,2.8,3.8,1.9,5.3,7.1,0.9,12.8,24.4,0.585,0.545,0.41,14.2,3.1,20.9,0.231
4.9,0.45,3.8,7.8,0.488,3.4,4.3,0.9,2.8,3.7,0.1,14.4,22.9,0.552,0.501,0.393,12,2.848859935,24.24136808,0.145
5,0.483,4.1,7.9,0.52,3.4,4.9,2.1,3.5,5.6,0.4,14.2,21.7,0.562,0.524,0.473,11.2,1.5,26,0.167
