G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
61,52,30.9,5.2,11.2,0.462,3.9,8.2,0.477,1.3,3,0.421,4.8,5.9,0.812,0.5,2.5,3,3,1.9,0.6,3,2.3,16.4,8.09,22.9,0.586,0.518,0.268,0.529,902.7,7.6,16.9,5,16.7,2.199333333,1.2,17.4,24.3,5.6,3.5,9.1,0.193,4.976229508,3.236885246,8.216393443
68,68,32.7,6.6,10.9,0.603,6.4,10.4,0.616,0.2,0.5,0.361,3.2,4.7,0.674,3.5,7.6,11.1,2.3,0.7,1.6,2.7,2.3,16.6,4.53,22.9,0.629,0.612,0.048,0.429,902.7,7.6,16.9,24.2,18.2,2.199333333,4.2,17,29.7,9.4,7.7,17.1,0.307,4.976229508,3.236885246,8.216393443
63,62,32.2,5.5,10.5,0.522,5.3,9.8,0.539,0.2,0.7,0.279,2.6,3.8,0.678,2.7,4.7,7.4,1.2,0.7,0.7,2,2.3,13.7,6.41,20.5,0.558,0.531,0.065,0.363,819,10.4,17.8,14.2,8.3,1.3,2.6,13.9,22.4,5,3.2,8.2,0.162,2.6,2,4.6
107,106,29.5,3.4,6.8,0.503,3.2,6,0.545,0.2,0.9,0.215,1.7,2.5,0.668,2.6,4.7,7.2,1.6,1.3,0.6,1.8,2.2,8.7,8.6,22.9,0.544,0.516,0.127,0.363,902.7,7.6,16.9,15.5,9.6,2.199333333,1.3,18.3,17.7,4.1,10.6,14.7,0.186,4.976229508,3.236885246,8.216393443
71,14,18.1,3.1,8,0.388,1.3,2.9,0.458,1.8,5.1,0.349,2,2.5,0.8,1.3,1.9,3.2,1,0.8,0.3,0.9,1.7,10,7.54,22.2,0.544,0.5,0.642,0.309,639,7.5,12.2,9.7,10.5,2.5,1.5,9.2,25.8,4.3,2,6.3,0.195,7.8,1.4,9.2
99,97,30.6,5.5,9.8,0.562,5.5,9.8,0.563,0,0,0,3.5,5.1,0.69,2.4,5.1,7.6,0.9,0.7,2,1.7,2.6,14.6,7.95,22.9,0.595,0.563,0.003,0.52,902.7,7.6,16.9,15.3,6.6,2.199333333,4.7,12.5,24.2,9.1,9.4,18.5,0.244,4.976229508,3.236885246,8.216393443
35,35,27.1,3.2,7.1,0.45,2.4,4.6,0.528,0.8,2.5,0.307,1.3,1.8,0.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,2.1,8.5,7.18,22.9,0.532,0.504,0.353,0.249,902.7,7.6,16.9,8.9,23.8,2.199333333,1.7,21.2,19.3,1.2,2.1,3.3,0.138,4.976229508,3.236885246,8.216393443
136,102,27.3,4.8,9.5,0.503,4.4,8.3,0.528,0.4,1.2,0.327,3.1,4.1,0.768,2.4,3.2,5.6,1.7,0.8,0.3,1.9,2.5,13.1,7.55,22.9,0.572,0.524,0.127,0.429,653,10.3,15,11.6,11.5,2.2,1.3,14.2,24.4,9.7,6.7,16.4,0.176,4.976229508,3.236885246,8.216393443
61,22,21.6,3.5,8.7,0.405,1.7,3.8,0.457,1.8,4.9,0.365,1.3,1.9,0.669,0.4,1.8,2.2,1.4,0.9,0.2,1.4,1.4,10.1,8.65,22.9,0.526,0.508,0.561,0.223,902.7,7.6,16.9,5.7,14.4,2.199333333,0.8,12.7,24.4,2.1,1.2,3.3,0.101,4.976229508,3.236885246,8.216393443
64,38,32.5,4.6,9.2,0.498,3.7,6.8,0.55,0.9,2.4,0.355,2.8,3.8,0.751,1.9,5.3,7.1,2.1,1.5,0.9,1.3,2,12.8,7.64,24.4,0.585,0.545,0.264,0.41,795,7.7,20.3,14.2,14.9,2.9,3.1,10.8,20.9,6.8,5.3,12,0.231,5.8,5.6,11.4
32,31,31.3,4.9,11,0.45,3.8,7.8,0.488,1.1,3.2,0.356,3.4,4.3,0.783,0.9,2.8,3.7,5.8,2,0.1,3.9,2.1,14.4,9.36,22.9,0.552,0.501,0.288,0.393,902.7,7.6,16.9,12,15.2,2.199333333,2.848859935,22.9,24.24136808,2,1.7,3.6,0.145,4.976229508,3.236885246,8.216393443
134,133,29.3,5,10.3,0.483,4.1,7.9,0.52,0.9,2.4,0.358,3.4,4.9,0.693,2.1,3.5,5.6,1.9,1.1,0.4,2.3,2.3,14.2,6.64,21.7,0.562,0.524,0.233,0.473,1474,7.8,12.9,11.2,14.3,2.2,1.5,15.5,26,10.4,6,16.4,0.167,5.2,2.2,7.4
100,99,29.3,3.6,5.9,0.611,3.6,5.9,0.611,0,0,0,3.1,5,0.625,3,5.4,8.5,0.4,0.4,4.2,1.8,2.6,10.3,7.14,22.9,0.624,0.611,0,0.844,902.7,7.6,16.9,17.9,2.9,2.199333333,9.2,17.5,19,7.2,12.8,19.9,0.272,4.976229508,3.236885246,8.216393443
