Draft_Yr,Player,College,Career_PER
1984,Michael Jordan,University of North Carolina,27.9
2012,Anthony Davis,University of Kentucky,27.4
1992,Shaquille O'Neal,Louisiana State University,26.4
1987,David Robinson,United States Naval Academy,26.2
1959,Wilt Chamberlain,University of Kansas,26.1
2005,Chris Paul,Wake Forest University,25.3
1954,Bob Pettit,Louisiana State University,25.3
2007,Kevin Durant,University of Texas at Austin,25.2
2015,Karl-Anthony Towns,University of Kentucky,25.1
1969,Kareem Abdul-Jabbar,"University of California, Los Angeles",24.6
1984,Charles Barkley,Auburn University,24.6
2009,James Harden,Arizona State University,24.3
1997,Tim Duncan,Wake Forest University,24.2
1979,Magic Johnson,Michigan State University,24.1
2014,Joel Embiid,University of Kansas,24.1
2010,Hassan Whiteside,Marshall University,24
1985,Karl Malone,Louisiana Tech University,23.9
2009,Stephen Curry,Davidson College,23.8
2008,Russell Westbrook,"University of California, Los Angeles",23.7
1972,Julius Erving,University of Massachusetts Amherst,23.6
1984,Hakeem Olajuwon,University of Houston,23.6
2003,Dwyane Wade,Marquette University,23.6
1978,Larry Bird,Indiana State University,23.5
1960,Oscar Robertson,University of Cincinnati,23.2
1960,Jerry West,West Virginia University,22.9
1958,Elgin Baylor,Seattle University,22.7
2011,Kawhi Leonard,San Diego State University,22.6
2010,DeMarcus Cousins,University of Kentucky,22.4
2009,Blake Griffin,University of Oklahoma,22.3
2011,Kyrie Irving,Duke University,22.1
2015,Montrezl Harrell,University of Louisville,22
2012,Andre Drummond,University of Connecticut,22
2008,Kevin Love,"University of California, Los Angeles",21.9
1984,John Stockton,Gonzaga University,21.8
1970,Bob Lanier,St. Bonaventure University,21.7
1982,Dominique Wilkins,University of Georgia,21.6
1952,Clyde Lovellette,University of Kansas,21.6
1976,Adrian Dantley,University of Notre Dame,21.5
1974,George Gervin,Eastern Michigan University,21.4
1970,Dan Issel,University of Kentucky,21.4
2012,Damian Lillard,Weber State University,21.4
1971,Artis Gilmore,Jacksonville University,21.4
1992,Alonzo Mourning,Georgetown University,21.2
1983,Clyde Drexler,University of Houston,21.1
1965,Rick Barry,University of Miami,21
1985,Patrick Ewing,Georgetown University,21
2018,Deandre Ayton,University of Arizona,21
1993,Chris Webber,University of Michigan,20.9
1996,Allen Iverson,Georgetown University,20.9
1955,Maurice Stokes,Saint Francis University,20.8
2006,LaMarcus Aldridge,University of Texas at Austin,20.8
1987,Kevin Johnson,University of California,20.7
1974,John Drew,Gardner-Webb University,20.7
1972,Bob McAdoo,University of North Carolina,20.7
2003,Chris Bosh,Georgia Institute of Technology,20.6
1950,George Yardley,Stanford University,20.5
1999,Elton Brand,Duke University,20.5
2011,Isaiah Thomas,University of Washington,20.4
2003,Carmelo Anthony,Syracuse University,20.3
2007,Brandan Wright,University of North Carolina,20.3
2011,Nikola Vucevic,University of Southern California,20.2
1977,Marques Johnson,"University of California, Los Angeles",20.1
2017,John Collins,Wake Forest University,20.1
1996,Steve Nash,Santa Clara University,20
1980,Kevin McHale,University of Minnesota,20
2011,Jimmy Butler,Marquette University,20
2010,Greg Monroe,Georgetown University,20
1973,George McGinnis,Indiana University,20
2008,Brook Lopez,Stanford University,20
2006,Brandon Roy,University of Washington,20
1965,Billy Cunningham,University of North Carolina,20
1974,Bill Walton,"University of California, Los Angeles",20
2016,Ben Simmons,Louisiana State University,20
1981,Larry Nance,Clemson University,19.9
1975,David Thompson,North Carolina State University,19.9
1976,Alex English,University of South Carolina,19.9
1961,Walt Bellamy,Indiana University,19.8
2011,Kenneth Faried,Morehead State University,19.8
1953,Cliff Hagan,University of Kentucky,19.8
1950,Bob Cousy,College of the Holy Cross,19.8
1991,Terrell Brandon,University of Oregon,19.7
1998,Paul Pierce,University of Kansas,19.7
1950,Paul Arizin,Villanova University,19.7
1986,Mark Price,Georgia Institute of Technology,19.6
2001,Gilbert Arenas,University of Arizona,19.6
1993,Sam Cassell,Florida State University,19.5
2000,Michael Redd,Ohio State University,19.5
2002,Carlos Boozer,Duke University,19.5
1972,Paul Westphal,University of Southern California,19.4
2010,John Wall,University of Kentucky,19.4
2001,Zach Randolph,Michigan State University,19.3
2008,JaVale McGee,"University of Nevada, Reno",19.3
1982,Clark Kellogg,Ohio State University,19.3
1990,Cedric Ceballos,"California State University, Fullerton",19.3
1976,Robert Parish,Centenary College of Louisiana,19.2
2011,Kemba Walker,University of Connecticut,19.2
1977,Bernard King,University of Tennessee,19.2
1977,Walter Davis,University of North Carolina,19.1
1967,Walt Frazier,Southern Illinois University,19.1
1971,Spencer Haywood,University of Detroit Mercy,19.1
1989,Shawn Kemp,Trinity Valley Community College,19.1
2006,Paul Millsap,Louisiana Tech University,19.1
2010,Paul George,"California State University, Fresno",19.1
2005,David Lee,University of Florida,19.1
1959,Bailey Howell,Mississippi State University,19.1
1996,Shareef Abdur-Rahim,University of California,19
1981,Mark Aguirre,DePaul University,19
1994,Grant Hill,Duke University,19
1962,Zelmo Beaty,Prairie View A&M University,18.9
1998,Vince Carter,University of North Carolina,18.9
1964,Larry Jones,University of Toledo,18.9
1962,Jerry Lucas,Ohio State University,18.9
1990,Gary Payton,Oregon State University,18.9
1962,Dave DeBusschere,University of Detroit Mercy,18.9
1986,Brad Daugherty,University of North Carolina,18.9
1956,Bill Russell,University of San Francisco,18.9
1962,Bill McGill,University of Utah,18.9
2007,Al Horford,University of Florida,18.9
1999,Shawn Marion,"University of Nevada, Las Vegas",18.8
2010,Derrick Favors,Georgia Institute of Technology,18.8
1985,Chris Mullin,St. John's University,18.8
1997,Chauncey Billups,University of Colorado,18.8
1975,World B. Free,Guilford College,18.8
1996,Stephon Marbury,Georgia Institute of Technology,18.7
1979,Sidney Moncrief,University of Arkansas,18.7
1957,Sam Jones,North Carolina Central University,18.7
1980,Jeff Ruland,Iona College,18.7
2007,Greg Oden,Ohio State University,18.7
