,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
0,1966,1,NYK,Cazzie Russell,University of Michigan,12,817,22213,12377,3068,1838,0.464,0,0.827,22213,15.1,3.8,2.2,51.7,0.112,-2,0.1
1,1966,2,DET,Dave Bing,Syracuse University,12,901,32769,18327,3420,5397,0.441,0,0.775,32769,20.3,3.8,6,68.8,0.101,0.6,8.5
2,1966,3,SFW,Clyde Lee,Vanderbilt University,10,742,19885,5733,7626,788,0.432,0,0.614,19885,7.7,10.3,1.1,33.5,0.081,-2.4,-0.6
3,1966,4,STL,Lou Hudson,University of Minnesota,13,890,29794,17940,3926,2432,0.489,0,0.797,29794,20.2,4.4,2.7,81,0.131,0.1,5.9
4,1966,5,BAL,Jack Marin,Duke University,11,849,24590,12541,4405,1813,0.465,0,0.843,24590,14.8,5.2,2.1,59.3,0.116,-2.8,-1.4
5,1966,6,CIN,Walt Wesley,University of Kansas,10,590,10306,5002,3243,385,0.434,0,0.63,10306,8.5,5.5,0.7,9.5,0.044,-2.8,-0.1
6,1966,7,LAL,Jerry Chambers,University of Utah,4,239,3691,1931,739,182,0.442,0,0.747,3691,8.1,3.1,0.8,2.8,0.037,0,0
7,1966,8,BOS,Jim Barnett,University of Oregon,11,732,17410,8536,2259,2232,0.435,0,0.797,17410,11.7,3.1,3,33.2,0.092,-2.2,-0.3
8,1966,9,PHI,Matt Guokas,Saint Joseph's University,10,735,16603,4285,1446,2174,0.489,0,0.727,16603,5.8,2,3,26.7,0.077,-3.8,-2.2
13,1966,12,DET,Dorie Murrey,University of Detroit Mercy,6,357,4486,1683,1555,226,0.425,0,0.679,4486,4.7,4.4,0.6,6.5,0.07,0,0
14,1966,13,SFW,Joe Ellis,University of San Francisco,8,524,10374,4623,2686,716,0.398,0,0.727,10374,8.8,5.1,1.4,5,0.023,-5.2,-0.4
15,1966,14,STL,Dick Snyder,Davidson College,13,964,25676,11755,2732,2767,0.488,0,0.824,25676,12.2,2.8,2.9,58.3,0.109,-0.5,4
16,1966,15,BAL,Neil Johnson,Creighton University,4,202,2263,798,685,217,0.426,0,0.613,2263,4,3.4,1.1,2,0.042,0,0
18,1966,17,LAL,Hank Finkel,University of Dayton,9,551,6866,2790,2151,426,0.449,0,0.662,6866,5.1,3.9,0.8,13.5,0.094,-4.9,-0.7
20,1966,19,PHI,Bill Melchionni,Villanova University,2,144,1450,640,202,203,0.412,0,0.673,1450,4.4,1.4,1.4,1,0.033,0,0
21,1966,20,CHI,Erwin Mueller,University of San Francisco,6,425,9541,3248,2050,853,0.429,0,0.627,9541,7.6,4.8,2,9.6,0.048,0,0
27,1966,24,STL,Tommy Kron,University of Kentucky,3,184,3139,1193,603,518,0.389,0,0.753,3139,6.5,3.3,2.8,1.8,0.028,0,0
30,1966,27,LAL,John Block,University of Southern California,10,597,14316,7106,3965,805,0.433,0,0.778,14316,11.9,6.6,1.3,32.7,0.11,-1.4,0.4
42,1966,37,LAL,Archie Clark,University of Minnesota,10,725,23581,11819,2427,3498,0.48,0,0.769,23581,16.3,3.3,4.8,64.7,0.132,-0.3,2.5
88,1966,75,LAL,John Wetzel,Virginia Polytechnic Institute and State University,7,357,4714,1215,682,494,0.429,0,0.81,4714,3.4,1.9,1.4,6.6,0.068,-2,0
93,1966,78,NYK,Bill Turner,University of Akron,6,294,4060,1597,1039,167,0.407,0,0.728,4060,5.4,3.5,0.6,4.8,0.057,0,0
113,1966,94,BAL,Stan McKenzie,New York University,7,396,7479,3579,1117,611,0.444,0,0.802,7479,9,2.8,1.5,14.5,0.093,-8.5,-0.2
148,1967,1,DET,Jimmy Walker,Providence College,9,698,23590,11655,1860,2429,0.461,0,0.829,23590,16.7,2.7,3.5,42.9,0.087,-1.7,0.7
149,1967,2,BAL,Earl Monroe,Winston-Salem State University,13,926,29636,17454,2796,3594,0.464,0,0.807,29636,18.8,3,3.9,77.4,0.125,0,7.1
150,1967,3,CHI,Clem Haskins,Western Kentucky University,9,681,17624,8743,2087,2382,0.449,0,0.792,17624,12.8,3.1,3.5,35.8,0.097,-1.4,0.5
152,1967,5,NYK,Walt Frazier,Southern Illinois University,13,825,30965,15581,4830,5040,0.49,0,0.786,30965,18.9,5.9,6.1,113.5,0.176,4.1,20.9
153,1967,6,SEA,Al Tucker,Oklahoma Baptist University,3,257,5348,2431,1283,230,0.453,0,0.702,5348,9.5,5,0.9,7.2,0.065,0,0
154,1967,7,SDR,Pat Riley,University of Kentucky,9,528,8187,3906,855,913,0.414,0,0.705,8187,7.4,1.6,1.7,4.5,0.026,-6,-3.2
157,1967,10,SFW,Dave Lattin,University of Texas at El Paso,2,112,1244,506,427,62,0.4,0,0.644,1244,4.5,3.8,0.6,0.7,0.028,0,0
162,1967,13,BAL,Jimmy Jones,Grambling State University,3,140,2590,901,272,283,0.505,0,0.738,2590,6.4,1.9,2,6.2,0.115,-0.4,1
166,1967,17,NYK,Phil Jackson,University of North Dakota,12,807,14201,5428,3454,898,0.453,0,0.736,14201,6.7,4.3,1.1,29.3,0.099,-0.5,3.3
168,1967,19,SEA,Bob Rule,Colorado State University,8,403,11862,7007,3333,594,0.461,0,0.686,11862,17.4,8.3,1.5,22.7,0.092,-3.5,-0.2
175,1967,24,NYK,Gary Gregor,University of South Carolina,4,296,7397,2905,2065,436,0.431,0,0.715,7397,9.8,7,1.5,2.6,0.017,0,0
178,1967,27,SFW,Bill Turner,University of Akron,6,294,4060,1597,1039,167,0.407,0,0.728,4060,5.4,3.5,0.6,4.8,0.057,0,0
182,1967,31,SDR,Nick Jones,University of Oregon,3,188,2264,1003,216,247,0.413,0,0.772,2264,5.3,1.1,1.3,2.1,0.046,0,0
191,1967,38,CIN,Louie Dampier,University of Kentucky,3,232,4431,1553,261,643,0.488,0,0.748,4431,6.7,1.1,2.8,6.7,0.073,-3.2,-1.4
192,1967,39,SFW,Bobby Lewis,University of North Carolina,4,255,4303,1481,533,555,0.381,0,0.712,4303,5.8,2.1,2.2,1.1,0.012,0,0
220,1967,63,SFW,Dale Schlueter,Colorado State University,10,586,9624,3130,3034,920,0.497,0,0.678,9624,5.3,5.2,1.6,20.8,0.104,-0.9,0.8
241,1967,80,BAL,Ed Manning,Jackson State University,4,280,4013,1418,1264,200,0.423,0,0.702,4013,5.1,4.5,0.7,4.2,0.05,0,0
297,1967,128,NYK,Mike Riordan,Providence College,9,639,15890,6334,1830,1524,0.47,0,0.744,15890,9.9,2.9,2.4,33.2,0.1,-0.9,2
348,1968,1,SDR,Elvin Hayes,University of Houston,16,1303,50000,27313,16279,2398,0.452,0.147,0.67,50000,21,12.5,1.8,120.8,0.116,0.9,23.3
349,1968,2,BAL,Wes Unseld,University of Louisville,13,984,35832,10624,13769,3822,0.509,0.5,0.633,35832,10.8,14,3.9,110.1,0.147,4.4,32.8
350,1968,3,SEA,Bob Kauffman,Guilford College,7,525,13568,6049,3682,1429,0.477,0,0.749,13568,11.5,7,2.7,31.5,0.111,-1.6,0.2
351,1968,4,CHI,Tom Boerwinkle,University of Tennessee,10,635,14387,4596,5745,2007,0.453,0,0.675,14387,7.2,9,3.2,38,0.127,3.8,7.5
352,1968,5,CIN,Zaid Abdul-Aziz,Iowa State University,10,505,11023,4557,4065,601,0.428,0,0.728,11023,9,8,1.2,17.5,0.076,-0.1,2.1
353,1968,6,DET,Otto Moore,University of Texas-Pan American,9,682,16893,5616,5575,1060,0.453,0,0.609,16893,8.2,8.2,1.6,24.7,0.07,0,3.3
354,1968,7,MIL,Charlie Paulk,Northeastern State University,3,120,1641,741,462,41,0.392,0,0.611,1641,6.2,3.9,0.3,-0.9,-0.026,0,0
355,1968,8,PHO,Gary Gregor,University of South Carolina,4,296,7397,2905,2065,436,0.431,0,0.715,7397,9.8,7,1.5,2.6,0.017,0,0
356,1968,9,SFW,Ron Williams,West Virginia University,8,516,11478,4797,971,1818,0.441,0,0.833,11478,9.3,1.9,3.5,23.5,0.098,-3.8,-0.8
357,1968,10,NYK,Bill Hosket,Ohio State University,4,143,1395,573,355,94,0.485,0,0.715,1395,4,2.5,0.7,3.2,0.109,0,0
358,1968,11,LAL,Bill Hewitt,University of Southern California,6,361,7461,2062,1994,469,0.439,0,0.561,7461,5.7,5.5,1.3,5.2,0.033,-2.8,-0.1
359,1968,12,BOS,Don Chaney,University of Houston,11,742,17406,6216,2913,1593,0.438,0.167,0.776,17406,8.4,3.9,2.1,35.5,0.098,-0.2,4.2
361,1968,14,PHI,Shaler Halimon,Utah State University,3,170,2523,1136,571,302,0.397,0,0.622,2523,6.7,3.4,1.8,-0.1,-0.001,0,0
364,1968,15,SDR,John Trapp,"University of Nevada, Las Vegas",4,279,4895,2066,1248,283,0.42,0,0.725,4895,7.4,4.5,1,6.2,0.061,0,0
