Draft_Yr,Player,College
2018,Deandre Ayton,University of Arizona
2018,Jaren Jackson,Michigan State University
2018,Trae Young,University of Oklahoma
2018,Collin Sexton,University of Alabama
2018,Kevin Knox,University of Kentucky
2018,Mikal Bridges,Villanova University
2018,Shai Gilgeous-Alexander,University of Kentucky
2018,Kevin Huerter,University of Maryland
2017,Lonzo Ball,"University of California, Los Angeles"
2017,Jayson Tatum,Duke University
2017,Josh Jackson,University of Kansas
2017,De'Aaron Fox,University of Kentucky
2017,Jonathan Isaac,Florida State University
2017,Lauri Markkanen,University of Arizona
2017,Dennis Smith,North Carolina State University
2017,Zach Collins,Gonzaga University
2017,Malik Monk,University of Kentucky
2017,Luke Kennard,Duke University
2017,Donovan Mitchell,University of Louisville
2017,Bam Adebayo,University of Kentucky
2017,Justin Jackson,University of North Carolina
2017,John Collins,Wake Forest University
2017,Jarrett Allen,University of Texas at Austin
2017,OG Anunoby,Indiana University
2017,Kyle Kuzma,University of Utah
2017,Josh Hart,Villanova University
2017,Wesley Iwundu,Kansas State University
2017,Semi Ojeleye,Southern Methodist University
2017,Damyean Dotson,University of Oregon
2017,Dillon Brooks,University of Oregon
2017,Sterling Brown,Southern Methodist University
2017,Monte Morris,Iowa State University
2016,Ben Simmons,Louisiana State University
2016,Brandon Ingram,Duke University
2016,Jaylen Brown,University of California
2016,Kris Dunn,Providence College
2016,Buddy Hield,University of Oklahoma
2016,Jamal Murray,University of Kentucky
2016,Marquese Chriss,University of Washington
2016,Jakob Poeltl,University of Utah
2016,Domantas Sabonis,Gonzaga University
2016,Taurean Prince,Baylor University
2016,Denzel Valentine,Michigan State University
2016,Malik Beasley,Florida State University
2016,Caris LeVert,University of Michigan
2016,DeAndre Bembry,Saint Joseph's University
2016,Pascal Siakam,New Mexico State University
2016,Skal Labissiere,University of Kentucky
2016,Dejounte Murray,University of Washington
2016,Tyler Ulis,University of Kentucky
2016,Malcolm Brogdon,University of Virginia
2016,Patrick McCaw,"University of Nevada, Las Vegas"
2016,Isaiah Whitehead,Seton Hall University
2015,Karl-Anthony Towns,University of Kentucky
2015,D'Angelo Russell,Ohio State University
2015,Jahlil Okafor,Duke University
2015,Willie Cauley-Stein,University of Kentucky
2015,Stanley Johnson,University of Arizona
2015,Frank Kaminsky,University of Wisconsin
2015,Justise Winslow,Duke University
2015,Myles Turner,University of Texas at Austin
2015,Trey Lyles,University of Kentucky
2015,Devin Booker,University of Kentucky
2015,Cameron Payne,Murray State University
2015,Kelly Oubre,University of Kansas
2015,Terry Rozier,University of Louisville
2015,Rashad Vaughn,"University of Nevada, Las Vegas"
2015,Sam Dekker,University of Wisconsin
2015,Jerian Grant,University of Notre Dame
2015,Delon Wright,University of Utah
2015,Justin Anderson,University of Virginia
2015,Bobby Portis,University of Arkansas
2015,Rondae Hollis-Jefferson,University of Arizona
2015,Tyus Jones,Duke University
2015,Jarell Martin,Louisiana State University
2015,Larry Nance Jr.,University of Wyoming
2015,Kevon Looney,"University of California, Los Angeles"
2015,Montrezl Harrell,University of Louisville
2015,Richaun Holmes,Bowling Green State University
2015,Josh Richardson,University of Tennessee
2015,Pat Connaughton,University of Notre Dame
2015,Andrew Harrison,University of Kentucky
2015,Norman Powell,"University of California, Los Angeles"
2014,Andrew Wiggins,University of Kansas
2014,Jabari Parker,Duke University
2014,Joel Embiid,University of Kansas
2014,Aaron Gordon,University of Arizona
2014,Marcus Smart,Oklahoma State University
2014,Julius Randle,University of Kentucky
2014,Nik Stauskas,University of Michigan
2014,Noah Vonleh,Indiana University
2014,Elfrid Payton,University of Louisiana at Lafayette
2014,Doug McDermott,Creighton University
2014,Zach LaVine,"University of California, Los Angeles"
2014,T.J. Warren,North Carolina State University
2014,Tyler Ennis,Syracuse University
2014,Gary Harris,Michigan State University
2014,Rodney Hood,Duke University
2014,Shabazz Napier,University of Connecticut
2014,P.J. Hairston,University of North Carolina
2014,Kyle Anderson,"University of California, Los Angeles"
2014,K.J. McDaniels,Clemson University
2014,Joe Harris,University of Virginia
2014,Johnny O'Bryant III,Louisiana State University
2014,Spencer Dinwiddie,University of Colorado
2014,Jerami Grant,Syracuse University
2014,Glenn Robinson III,University of Michigan
2014,Markel Brown,Oklahoma State University
2014,Dwight Powell,Stanford University
2014,Jordan Clarkson,University of Missouri
2013,Anthony Bennett,"University of Nevada, Las Vegas"
2013,Victor Oladipo,Indiana University
2013,Otto Porter,Georgetown University
2013,Cody Zeller,Indiana University
2013,Alex Len,University of Maryland
2013,Nerlens Noel,University of Kentucky
2013,Ben McLemore,University of Kansas
2013,Kentavious Caldwell-Pope,University of Georgia
2013,Trey Burke,University of Michigan
2013,CJ McCollum,Lehigh University
2013,Michael Carter-Williams,Syracuse University
2013,Steven Adams,University of Pittsburgh
2013,Kelly Olynyk,Gonzaga University
2013,Shabazz Muhammad,"University of California, Los Angeles"
2013,Shane Larkin,University of Miami
2013,Tony Snell,University of New Mexico
2013,Gorgui Dieng,University of Louisville
2013,Mason Plumlee,Duke University
2013,Solomon Hill,University of Arizona
2013,Tim Hardaway,University of Michigan
2013,Reggie Bullock,University of North Carolina
2013,Andre Roberson,University of Colorado
2013,Archie Goodwin,University of Kentucky
2013,Allen Crabbe,University of California
2013,Isaiah Canaan,Murray State University
2013,Ray McCallum,University of Detroit Mercy
2013,Nate Wolters,South Dakota State University
2013,Jeff Withey,University of Kansas
2013,Mike Muscala,Bucknell University
2013,Ryan Kelly,Duke University
2013,James Ennis,"California State University, Long Beach"
2012,Anthony Davis,University of Kentucky
2012,Michael Kidd-Gilchrist,University of Kentucky
2012,Bradley Beal,University of Florida
2012,Dion Waiters,Syracuse University
2012,Thomas Robinson,University of Kansas
2012,Damian Lillard,Weber State University
2012,Harrison Barnes,University of North Carolina
2012,Terrence Ross,University of Washington
2012,Andre Drummond,University of Connecticut
2012,Austin Rivers,Duke University
2012,Meyers Leonard,University of Illinois at Urbana-Champaign
2012,Jeremy Lamb,University of Connecticut
2012,Kendall Marshall,University of North Carolina
2012,John Henson,University of North Carolina
2012,Maurice Harkless,St. John's University
2012,Tyler Zeller,University of North Carolina
2012,Terrence Jones,University of Kentucky
2012,Andrew Nicholson,St. Bonaventure University
2012,Jared Sullinger,Ohio State University
2012,John Jenkins,Vanderbilt University
2012,Tony Wroten,University of Washington
2012,Miles Plumlee,Duke University
2012,Perry Jones,Baylor University
2012,Festus Ezeli,Vanderbilt University
2012,Jeff Taylor,Vanderbilt University
2012,Jae Crowder,Marquette University
2012,Draymond Green,Michigan State University
2012,Quincy Acy,Baylor University
2012,Khris Middleton,Texas A&M University
2012,Will Barton,University of Memphis
2012,Mike Scott,University of Virginia
2012,Justin Hamilton,Louisiana State University
2012,Darius Miller,University of Kentucky
2012,Kyle O'Quinn,Norfolk State University
2012,Robert Sacre,Gonzaga University
2011,Kyrie Irving,Duke University
2011,Derrick Williams,University of Arizona
2011,Tristan Thompson,University of Texas at Austin
2011,Brandon Knight,University of Kentucky
2011,Kemba Walker,University of Connecticut
2011,Jimmer Fredette,Brigham Young University
2011,Klay Thompson,Washington State University
2011,Alec Burks,University of Colorado
2011,Markieff Morris,University of Kansas
2011,Marcus Morris,University of Kansas
2011,Kawhi Leonard,San Diego State University
2011,Nikola Vucevic,University of Southern California
2011,Iman Shumpert,Georgia Institute of Technology
2011,Chris Singleton,Florida State University
2011,Tobias Harris,University of Tennessee
2011,Kenneth Faried,Morehead State University
2011,Reggie Jackson,Boston College
2011,MarShon Brooks,Providence College
2011,Jordan Hamilton,University of Texas at Austin
2011,Norris Cole,Cleveland State University
2011,Cory Joseph,University of Texas at Austin
2011,Jimmy Butler,Marquette University
2011,Kyle Singler,Duke University
2011,Shelvin Mack,Butler University
2011,Chandler Parsons,University of Florida
2011,Jon Leuer,University of Wisconsin
2011,Lavoy Allen,Temple University
2011,DeAndre Liggins,University of Kentucky
2011,E'Twaun Moore,Purdue University
2011,Isaiah Thomas,University of Washington
2010,John Wall,University of Kentucky
2010,Evan Turner,Ohio State University
2010,Derrick Favors,Georgia Institute of Technology
2010,Wesley Johnson,Syracuse University
2010,DeMarcus Cousins,University of Kentucky
2010,Ekpe Udoh,Baylor University
2010,Greg Monroe,Georgetown University
2010,Al-Farouq Aminu,Wake Forest University
2010,Gordon Hayward,Butler University
2010,Paul George,"California State University, Fresno"
2010,Cole Aldrich,University of Kansas
2010,Xavier Henry,University of Kansas
2010,Ed Davis,University of North Carolina
2010,Patrick Patterson,University of Kentucky
2010,Larry Sanders,Virginia Commonwealth University
2010,Luke Babbitt,"University of Nevada, Reno"
2010,Eric Bledsoe,University of Kentucky
2010,Avery Bradley,University of Texas at Austin
2010,James Anderson,Oklahoma State University
2010,Trevor Booker,Clemson University
2010,Quincy Pondexter,University of Washington
2010,Jordan Crawford,Xavier University
2010,Greivis Vasquez,University of Maryland
2010,Hassan Whiteside,Marshall University
2010,Landry Fields,Stanford University
2010,Lance Stephenson,University of Cincinnati
2010,Jeremy Evans,Western Kentucky University
2009,Blake Griffin,University of Oklahoma
2009,Hasheem Thabeet,University of Connecticut
2009,James Harden,Arizona State University
2009,Tyreke Evans,University of Memphis
2009,Jonny Flynn,Syracuse University
2009,Stephen Curry,Davidson College
2009,Jordan Hill,University of Arizona
2009,DeMar DeRozan,University of Southern California
2009,Terrence Williams,University of Louisville
2009,Gerald Henderson,Duke University
2009,Tyler Hansbrough,University of North Carolina
2009,Earl Clark,University of Louisville
2009,Austin Daye,Gonzaga University
2009,James Johnson,Wake Forest University
2009,Jrue Holiday,"University of California, Los Angeles"
2009,Ty Lawson,University of North Carolina
2009,Jeff Teague,Wake Forest University
2009,Eric Maynor,Virginia Commonwealth University
2009,Darren Collison,"University of California, Los Angeles"
2009,Byron Mullens,Ohio State University
2009,Taj Gibson,University of Southern California
2009,DeMarre Carroll,University of Missouri
2009,Wayne Ellington,University of North Carolina
2009,Toney Douglas,Florida State University
2009,Jeff Pendergraph,Arizona State University
2009,Dante Cunningham,Villanova University
2009,Sam Young,University of Pittsburgh
2009,DeJuan Blair,University of Pittsburgh
2009,Jon Brockman,University of Washington
2009,Derrick Brown,Xavier University
2009,Jodie Meeks,University of Kentucky
2009,Patrick Beverley,University of Arkansas
2009,Marcus Thornton,Louisiana State University
2009,Chase Budinger,University of Arizona
2009,Nick Calathes,University of Florida
2009,Danny Green,University of North Carolina
2009,A.J. Price,University of Connecticut
2009,Patrick Mills,Saint Mary's College of California
2008,Derrick Rose,University of Memphis
2008,Michael Beasley,Kansas State University
2008,O.J. Mayo,University of Southern California
2008,Russell Westbrook,"University of California, Los Angeles"
2008,Kevin Love,"University of California, Los Angeles"
2008,Eric Gordon,Indiana University
2008,D.J. Augustin,University of Texas at Austin
2008,Brook Lopez,Stanford University
2008,Jerryd Bayless,University of Arizona
2008,Jason Thompson,Rider University
2008,Brandon Rush,University of Kansas
2008,Anthony Randolph,Louisiana State University
2008,Robin Lopez,Stanford University
2008,Marreese Speights,University of Florida
2008,Roy Hibbert,Georgetown University
2008,JaVale McGee,"University of Nevada, Reno"
2008,J.J. Hickson,North Carolina State University
2008,Ryan Anderson,University of California
2008,Courtney Lee,Western Kentucky University
2008,Kosta Koufos,Ohio State University
2008,George Hill,Indiana University-Purdue University Indianapolis
2008,Darrell Arthur,University of Kansas
2008,Donte Greene,Syracuse University
2008,D.J. White,Indiana University
2008,Mario Chalmers,University of Kansas
2008,DeAndre Jordan,Texas A&M University
2008,Luc Mbah a Moute,"University of California, Los Angeles"
2008,Sonny Weems,University of Arkansas
2008,Chris Douglas-Roberts,University of Memphis
2008,Bill Walker,Kansas State University
2007,Greg Oden,Ohio State University
2007,Kevin Durant,University of Texas at Austin
2007,Al Horford,University of Florida
2007,Mike Conley,Ohio State University
2007,Jeff Green,Georgetown University
2007,Corey Brewer,University of Florida
2007,Brandan Wright,University of North Carolina
2007,Joakim Noah,University of Florida
2007,Spencer Hawes,University of Washington
2007,Acie Law,Texas A&M University
2007,Thaddeus Young,Georgia Institute of Technology
2007,Julian Wright,University of Kansas
2007,Al Thornton,Florida State University
